tournament-w,date-w,round-w,temp,wind,rainlast24hrs
farmers-insurance-open,2022-01-27,1,69,9,0
farmers-insurance-open,2022-01-28,2,73,8,0
farmers-insurance-open,2022-01-29,3,69,9,0
farmers-insurance-open,2022-01-30,4,67,12,0
fortinet championship,2021-09-16,1,69,12,0
fortinet championship,2021-09-17,2,74,12,0
fortinet championship,2021-09-18,3,65,10,0
fortinet championship,2021-09-19,4,80,13,0.1
sanderson-farms-championship,2021-09-30,1,83,12,0.1
sanderson-farms-championship,2021-10-01,2,85,8,0
sanderson-farms-championship,2021-10-02,3,83,10,0
sanderson-farms-championship,2021-10-03,4,87,10,0
shriners-childrens-open,2021-10-07,1,84,13,0
shriners-childrens-open,2021-10-08,2,77,22,0
shriners-childrens-open,2021-10-09,3,77,14,0
shriners-childrens-open,2021-10-10,4,79,20,0